tweet_id,tweet_text
55, yes its good news i used to think they were not so bad not long ago but having read more about them they are genuine extremists but when people like you call the conservatives and brexit party extremists it makes people like me sceptical
56, terrible smh brexit vibes
57, i have already explained why it can be positive and dont give me that stuff about my kids school being the only one that does it they all do the same the poor education in english school is why we ended up with brexit
58,this is a shitshow gonna go vegetarian
59, to all the lefty idiots imagine being so thick that you think brexit is xenophobic when many different xeno are probrexit imagine being that lacking
60,  october  europe war and financial distress europe is getting closer to a real time war scenario
61,brexit uk reneging on northern ireland pledges risks trade deals with us and eu  brexitshambles
62, the eu are taking the piss out of you   brexitreality
63,please replace the very bland work live and love thing on every brexit tweet with something more dynamic like get job do bonk
64, john you were my mainstay throughout brexit im horrified that youre joining murdoch i dont know what else to say i cant believe it
65, gotta piss off both sides of the brexit gang somehow 
66,toilets will smell sweeter after brexit  
67, oh your one of those that thinks brexit was about money i didnt those people still existed
68, walk away from what brexits done isnt it
69, made in france  typical brexit puffed up empty bullshit
70, you do wonder when people are going to realise brexit is a massive ponzi scheme  illusory gains promoted by grifters and bullshitters to the overly credulous  the problem is as with all ponzi schemes you only lose when you stop believing
71,isnt that what many of them voted for
72,environment secretary george eustice refuses to rule out import of chlorinated chicken  inews 
73,thats a belter 
74,i think abouf jonahs brexit costume so often
75,welcome to post brexit travel eurotunnel chaos brexit ipace roadtrip 
76,deserved brexit dividend  the sun records m loss amid falling sales and hacking damages  the sun  the guardian 
77,fuck off you negative remoaning bastard
78, this is the uks post brexit future the us will determine defence policy theyll run it to suit themselves and who can blame them when they have a patsy right wing tory govt in the pockets of billionaires and right wing nut jobs
79,brexit will soon have cost the uk more than all of its payments to the eu over the last  years put together 
80, not in the north east the media will crucify him for being proeu  the electorate will follow suit it wont even matter if brexit is a total catastrophe
81,anyone still trust liarjohnson dont brexit negotiating team has reportedly been ordered to come up with plans to get around the northern ireland protocol in the withdrawal agreement bye bye ukus trade deal 
82,unfortunately unless the people of britain stand up and take their country back from the progressive politicians in parliament theyre doomed to become an islamic nation  brexit was just the first step in the path to regaining their freedom
83,cant wait for ioveisland tonight  like and siannise are defo getting my vote
84, so so sick of hearing about this piece of propaganda its nonsense if brexit has a benefit the colour of our passports isnt one of them
85, he actually suggesteddemanded recently that english be the only language used between coachplayer on tv changeovers and where is he from england you can see why they voted brexit some of them have this deluded romantic view that the british empire still rules the world 
86,she obviously wasnt filming in brixton bradford or birmingham then
87,wrong   its increases rights   the right to freedom to trade with whoever we wish to on terms we wish to the right to set our own laws without an unelected state overruling us the right to control our own borders the right to welcome immigrants on our own terms nuff said
88, he got  of the votes in  which is the highest votes for a labour leader since winning tony blair people liked his ideas they just got brainwashed to thinking he was a antisemite terrorist sympathiser and also people wanted brexit
89, youve made my evening jules and also true of you  not sure if brexit supporters would agree though do we care no  thank you x
90, think he wanted labour to loose the last election to further his own career hence his stance they adopted on brexit
91, omg why would a cornish mp screw over agriculture for a trade deal for rubbish goods such a traitor
92,to all the brexit voting conservatives out there youve been sold down the river and in believing those ridiculous lies we are all left without a paddle what have you done torylies brexitcon medialies
93, i thought nobody on the doorsteps wanted to talk about brexit
94, because brexit is personal tim   over the last v  years ive  met so many people whose lives its going to damage in so many different ways   at best brexiters dont care at worse positively revel in it 
95, meh so i live in the uk and it is a totally different game first of all corbyn was a known known and the media had been hammering him for years without let up second the election issue was actually brexit third conditions here arent as dire as the states
96, of course you did turkeys dont vote for xmas its a tv receiver tax  no longer appropriate even as an impartial public service broadcaster the tax has run its course but for an anti brexit woke loony liberal left multicultural gang rapist propoganda machine  no
97, i think this tweet says it all re the bbc from many right wingleavers perspective bbc still trying to prove it has a variety of views as it did over last  years 
98,this has to rank as one of the most stupid tweets ive seen on the issue of brexit  applauding a man willing to win at all costs  even if ruining his own countrys economy isnt something to be proud of
99, get brexit done 
100, sorry i disagree corbyns position was clear to all prior to  and nothing changed during the referendum at the last election his commitment to a second referendum came with the proviso that labour would also provide the option of a jobs brexit
101,uk citizens are losing our european citizenship because of brexit    is the campaign for an eu associate membership scheme that would give us the option to continue as eu members as individuals   
102,couldnt have said it better myself stupidbluepassport
103, thats why we voted for brexit   we knew
104, there were no single architect behind brexit nigel farage boris johnson david cameron and jeremy corbyn are the four most important names behind brexit the name of david schneider is only important to the extent that he got  tweets on brexit with k likes
105, i dont think daniel was into deceit nor were all brexit supporters i know there at the start of the brexit there were many alternative paths to the postbrexit uk and its engagement with the rest of europe and some were more productive  constructive than others 
106, stepping away from the terminology brexit supporters may help some people voted leave to support brexit some to protect the nhs if we do not draw a distinction between those two we lose the right to argue that people were misled and that disinformation swung the vote
107,oh no can we reverse brexit   think about the food bigots
108, i didnt say he had  but the  coup was all about corbyns crazyradical plans that the electorate would never sign up to   changed that  brexit aside the public are socially right  economically left  nobody really knows what starmer actually stands for politically
109,uk citizens are losing our european citizenship because of brexit is the campaign for an eu associate membership scheme that would give us the option to continue as eu members as individuals 
110,i hope and pray that the beeb lose the tv license they are nothing more than party politics war mongers who  change sides from one party to another to cause as much trouble as they can their stance on brexit was pathetic
111, you get access to more benefits by working for lower pay so that number will swing the other way when all the brits start lining up to pick fruit and wash dishes in restaurants hooray for brexit
112,brexit death by a thousand cuts bbc news  kasai in merthyr tydfil to close with about  jobs lost 
113,fuck ya blue passports 
114,tory minister fails to confirm uk will ban import of chlorinated chicken from us 
115, brexit was a total faliure for probrexiters it may be seem all rainbows and roses right now but wait until britain economy crashes and they are going to see the effects of what they voted for
116, problem is youre informed there are still people in this country who arent really aware of brexit and look at the millions spent on telling them
117, before brexit youll just have to compete to get the job after brexit competing for the job isnt fair
118,brexit uk reneging on northern ireland pledges risks trade deals with us and eu   
119, brexit got done
120, the real brexit bonus thus far has been seeing you lot rip each other apart over the budget deficit next will be macrons exit please keep it coming
121,the british economy failed to grow in the final three months of  amid political uncertainty over brexit and the snap general electionthe office for national statistics said growth in gross domestic product gdp flatlined between october  the end of december
122, little brexit england
123,the gbpusd pair bounced from a fresh yearly low remains sub uk manufacturing output unexpectedly soared the eu and the uk set to start trade talks in march brexit to return to the spotlight
124, i didnt say he had  but the  coup was all about corbyns crazyradical plans that the electorate would never sign up to   changed that  brexit aside the public are socially right  economically left  nobody really knows what starmer actually stands for politically
125, brexit did it 
126, less right less choices less options  so tell me and the rest of the better informed public wtf good points there are  or do we continue to believe bs like brexit being good haha wtf stupid uk
127,the johnson governments brexit stance framed as liberal gaullism to be known as owngaullism
128,what a clown
129,holy mackerel what fish can tell us about brexits next wave 
130, nope brexit wont really happen until next year then our decline will accelerate
131,going well  brexit uk reneging on northern ireland pledges risks trade deals with us and eu 
132,emmanuelmacron unsure uk and eu can strike post brexit trade deal by end of year  inews 
133,if you are happy to be poorer for the to wither and die for public services to be cut yet again for austerity to continue for the homeless to be ignored then stay silent say nothing do nothing let brexit happen orget a voice join us 
134,brexit means brexit     except when it means david davis       purveyors of vassalage
135,we dont want any deals with eu
136, good governments listen  
137,my heart goes out to these british citizens living in the eu through no fault on their own their families will land in dire straights because of brexit and british government rulings it is like an reverse windrush in the making and it should not be themillion
138,are the uk still in the eurovision after brexit worried how many points eire will get this year paddypowers oddsonthat doesanyonereallyreallyreallycare
139, they were busy but ineffective at stopping brexit they were trying to oppose the will of the people it is time to make big changes
140, they dont trust her  the princess of uganda is a danger to our societybrexit
141,precisely the aim all along too many tories have too much money riding on a no deal do something like this and when negotiations collapse blame the unreasonable eu the halfwits who voted for this will continue to swallow the bullshit 
142,flatlined between october and the end of december as consumer spending slumped over the christmas shopping period and manufacturing output nosedived in the runup to the general election
143, i didnt say he had  but the  coup was all about stopping corbyns crazyradical plans the electorate would never sign up to   changed that  brexit aside the public are socially right  economically left  nobody really knows what starmer actually stands for politically
144, still the think the best solution was cancel brexit give all the brexiteers new blue passports which restricts fom and makes them queue at airports and they would have been non the wiser and happy
145, if it wasnt an offence to massively highlight the bit european union i definitely would note inside to say i didnt vote for brexit do you think theyd let me queue jump the blue passport holders then
146,  sadly the bizarre alternative status quo has prevailed it did not have to be thus and i was surprised at the evolution of the brexit process
147, that is cause they wont us wont allow such a ban in any trade talks more over theyll force a ban on printing the origin of any produce fantastic how brexit is about us regaining control right right
148, there will be no hard border anywhere  remainers have tried saying brexit hasnt happened by redefining the meaning of the word brexit they have also tried redefining trade friction in the form of customs declarations and paperwork to mean a hard border
149,brexit uk reneging on northern ireland pledges risks trade deals with us and eu 
150,pm johnsons brexit team seeks to evade irish sea checks on goods  
151, part of the plan to deliver brexit
152, obvs americans will try it but they dont have a media entirely in the pocket of murdoch like we have here and theres no brexit to use as a wedge plus people here voted brexit because they thought it would help the nhs long racist story of lies healthcare is a thing
153,lies lies lies and more lies fact uk doing well postbrexit with more jobs and more investment
154,uk postbrexit blue passports made in polish factory 
155, blame the europe of liberosocialocommunistoargues about which have affected all of our nations because they were heading to an islamist takeover the facts are prooving everything by themselves but we got them double the trouble which they got by brexit and you see
156,brexit is just fine
157,if if if  coulda shoulda woulda whats the point
158,create your dream website only   contract link                                                                    
159, please go and look at other democratic system ours is not democratic as demonstrated in the ge  in the ge the majority of voters did not vote for brexit supporting parties the majority of seats gained but that demonstrates a lack of democracy
160, has urged local eu residents to sign up for email updates about brexit developments and future settlement issues   find out more  
161,learn how to take your business overseas  supply new markets from entrepreneurs who have done so grants  supports available  feb plato network  overseas brexit export globaltrade 
162,interview with north cyprus prime minister frontrunner for presidential election next month he calls on boris to use brexit freedom to resolve the cyprus impasse with  state solution and direct flights to north cyprus to boost its economy 
163,we are better out of the eu  thanks brexit
164, mine are and oppose fascist brexit they love everybody who doesnt hurt them or me they came to many protests and the hate must not win enoughisenough nopasaran fbpe fbr stop global right wing coup sundaythoughts europeansolidarity notinmyname 
165, you need your head examining  bbc has run a anti brexit campaign since   fact it has not remained neutral it also refused to report the year  demos in france our close neighbour yet swarmed all over hong kong demo it has become a leftist liberal joke we are paying for 
166,when you belive bjs promises   i swallowed the brexit lies now i regret telling curry house workers to vote leave 
167,it can stay there
168,brexit poll does the uk have the upper hand on brussels now the eu are divided vote 
169, ok so lets follow this thru  and how will that redo referendum happen  also please dont confuse doesnt suit snp with doesnt suit scotland   in fact there were more votes for brexit in scotland than the snp got in the  ge
170,man city hires lawyer who blocked brexit twice to help them overturn ban  
171,brexit means brexit
172, some decades back my pov might have been more nihilistic mightve just said fck it fck em taken my ball  gone home  election is imo the most important ive witnessed liberal coalition splits in  place us in a bad spot look at brexit votebluenomatterwho 
173,this is likely true however theres still possibility blair would have panicked and pulled the referendum gun on a vote
174, the theresa may bit was a play on the brexit means brexit narrative  yeh my point was that like var its not the case that  want brexit which matches your original point   ah the inflexibility of twitter for communication
175, was he as happy about the fact  that theyre manufactured in poland by a franco dutch company under eu regulations its such a fucking pointless sideshow irrelevant focus on the negative social and economic impact that brexit in 
176, theyve not said european union on them for a year not since the first brexit deadline passed 
177,gone from the fifth richest nation to the seventh  uk credit rating slashed not once but twice  pound slumped from  to    britain cutting its nose off to spite its face
178,im not one of those who cares what the passport looks like but darren is talking brexit as if it was some armed conflict to rid britain of oppressive tyranny its such a bizarre mindset we just voted to leave a political union its not the storming of the fucking bastille
179, brexit wont save britain the english destroyed what germany couldnt mass immigration crime up no housing schools hospitals pollution up due to over populated cities  english are vanishing from football tv  streets 
180,its the incoherence of the arguments that won this   the eu was going to drag us into a superstate and was about to collapse  britain will boom after brexit and we can invoke the wartime spirit to get through it  free us all from having freedom of movement
181, brexit wont save britain the english destroyed what germany couldnt mass immigration crime up no housing schools hospitals pollution up due to over populated cities  english are vanishing from football tv  streets 
182,the latest music minder  thanks to brexit books
183,uk will not implement eu copyright directive postbrexit ism statement  brexit
184, haha my god you voted for brexit to get a little stamp in your passport fucking morons in this country
185, what an arrogant statement reality that blair was a major contributor to brexit because of his secret mass muslim immigration policy if justice was seen to be done blair and the vast majority of labour and other socialists would be arrested for treason
186, these billy brexit bums know nothing about boxing
187,exactly what jeremy corbyn said at his  election rallies   bernie has an advantage he doesnt have brexit to cloud the issue   if bernie wins all is not yet lost for the socialist movement in the uk   go bernie
188,brexitbashing civil servants deliberately attempted to sabotage uks eu exit  exclusive 
189, well it doesnt matter now since labour decided to not back brexit like they did in  and got absolutely obliterated
190,i hope the boss reads about this because i bet i know what he will do about it unlike previous occupants of his post i dont expect it will be nothing 
191, corbyn knew brexit had to be seen through  starmer wanted it stopped  its that policy pressure that broke the ge campaign
192,im more interested in the archers story 
193, i also think youll need to present some evidence that the uk isnt ready for any form of brexit  using words like crash out is hyperbole to me sorry
194,grime talking out of his areshole as usual
195, i wish you strength to deal with whatever life has thrown at you there are plenty of us out there to fight the consequences of brexit
196,makes you wonder what you watched on the tv  i saw and heard this interview and he stated we would not import chlorinated chicken  what he did easy was that the americans no longer chlorinated their chicken  strange how anti uk brexit haters hear words
197,and it was all going so swimmingly  
198, again thats not what he did at all he left brexit in the hands of the people because it affected them not him as any real democrat would do
199, he was always remain until he saw the chance to ride brexit to becoming be pm
200,this is germany wanting to rule europe all over again
201,at least for some brexit brings business  
202, putting aside the stupid maths why is it a problem if its manufactured abroad what does that have to do with brexit you still dont understand after all these years
203,financial secrecy in post brexit britain uk government not threatening singapore on thames conspiracytheories  
204,never find that gif of the newcastle united fan windmilling when you need it  british sausages face being banned in eu after brexit  via
205,abbott  burgon being removed from cabinet will be just as important as corbyn going  incompetent delusional  no accountability for the ge defeat  ignore electorate who raised leadership antisemitism unclear brexit position  corbyns history as reasons for voting tory
206, leave seats voted tory to get brexit done by the next ge it will have been done and the johnson government will have made a complete mess of it so did you back a nd ref will not have the same connotations
207,futaba  toyotajlr supplier  employs around  in burnley and derby recently announced looking for around  voluntaryinvoluntary redundancies in burnley but british md says nothing to do with brexit just general downturn  
208,johnsons brexit flunkey sums up all thats wrong with his masters trade fantasies 
209,austerity it isnt over johnson planning a further  cut in spending the cost of this brexit folly is being paid for by the people who are in most need public services are at breaking point dont stay silent get a voice join us its free 
210,random car thoughts for a sunday pm  how will new car prices react to an increase in interest rates if people cant put everything on low cost finance who can pay these prices with salaries lagging  with brexit would you want to be holding lhd stock in uk i wouldnt
211, you cant be serious after all the insults the tories and brexit party have directed at the eu
212, well youre talking to someone from this area there is still massive support for labour in durham brexit done it theres plenty of working class tories in other parts of the uk too and things are not what they seem  thousands still voted labour and some did not vote at all
213,great news and real news brexit
214,im finally asking for french citizenship and let me tell u the paperwork is not fun but absolutely worth it to escape brexit and remain a european
215,brexit mr jollof tun to de
216,having read david frosts speech i agree wholeheartedly with will huttons article just to add that frost referred to burke as english yes he represented an english constituency but he was irish
217, funny how nearly every single comment in this thread is the same muh trump supporters and muh brexit supporters how ironic   i caption the video this thread
218,well just dont buy itwhat are you a mindless stupid unquestioning tory voter use your own judgement good food is a life choice
219,quite a grimace smile too
220,with the government now going completely rogue we have to be ready to protest please rt if you pledge to resist fascism  resist brexit stopfascism enoughisenough 
221,brexit independence day 
222,there are a few people from all across the political spectrum for which im starting to ask myself what id be missing if i just let them spend the rest of their life in their hypothetical daydream instead of getting wound up  yeaaah i knowww tony blaiiirr
223, even the brexit party has increased its share despite brexit happening while labour and the illiberalundems have continued to plummet
224, if you voted for brexit this are your news
225,symbolism is all the creatures have when it comes to brexit no common sense no facts just symbolism  personally i cant wait for it all to crash around them and people like grimes can crawl back in their hole and circle jerk til their hear content
226, or a symbol of just how ridiculous brexit is next time you pop off to another country the immigration control guy wont be smiling out of administration at your blue passport hell be laughing at you
227, brexit and the monarchy restored to power please
228, do you think that will be the case with rees mog redwood   all your other little brexit heroes that despise  people like you  regularly vote against equality 
229,hahaa you get what you wished for brexit brexitreality learntoread you will learn that you made a terrible choice   
230,who cares what they think they are destroying the uk with their policies brexit and johnson
231,telling the uk delegates to put their flags away isnt going to do anything because what are you gonna do kick them out of the eu brexit brexitcelebration theeu putyourflagsaway euflagban
232, no l have a british and an irish passport as l said long before there was any question of brexit
233, if working classes are still voting for politicians that ignore them on mass immigration and brexit then more fool them there is no hope for them voters
234,firm brexit means wounded brexit
235,please be my friend tony
236, stop whiningthey cherry pick thembut usually leftie anti brexit vegans
237, the country would have ceased to be britain thank goodness with brexit we have a chance to undo the damage labour have done to this country we have a bright future thanks to brexit
238,what a bllend
239, what do  you expect from people who know in detail how their lives  stand to be damaged or in  some cases wrecked by brexit
240, why are trump brexit got with the smashed up rubbish sinking island sold down the river got to do with anything
241,unbelievable brexit britain is the true heir to ancient greece  just ask the elgin marbles  via
242,what is your choice of colour for the post brexit ration book
243, its good to know hes now in quarantine thanks to brexit
244, you have gone from brexit loser to race baiter
245, i was referring to her disastrous brexit bill that lost by over  votes the biggest defeat in over  years and if you dont approve of her policies maybe she shouldnt be compared to your favorite candidate im assuming thats warren for you
246, get brexit done
247,todays matinee was a special show little brexit was in attendance best show ever  
248,aaaaaaaahahahahahahahahaaaaa you just fucking love to see it
249, you think you can win the argument on immigration  you just got slaughtered at the ge because the good people of uk voted for brexit and the end of free movement sorry but i have to ask  are you stupid
250, so who will you be trading with jan    its easy to get brexit done  i can tell my customers to go away but i better have bigger and better ready immediately to replace them no point in starting negotiations
251,this whole end the bbc debate is almost identical to brexit  a load of people ranting about only the bad stuff without actually being informed on what the whole picture is  the uninformed will unpick this country in the name of making it great again
252,brexit uk reneging on northern ireland pledges risks trade deals with us and eu 
253, not talking about brexit  talking about indeyref
254, an eye opener if its true  couldnt understand the total  hostility to balanced opinion and no scrutiny of misleading brexit promises sure it had an effect on election result as following the pack mentality set in very concerning
255, doris has lied  cheated all of his life he didnt hide it and everyone knew this the electorate were blinded by brexit doris snuck in through the back door and so we find ourselves in this mess any suggestions
256,environment secretary george eustice refuses to rule out import of chlorinated chicken  inews 
257, brexit day  going dutch   companies have now moved to netherlands since brexit ref in   more in talks jobs already movedmanufacturing and services  m of investment lost now our passports production lost  brexitreality brexitconned
258, at least he only risked his own life truebrexit believers are risking the lives of an entire country
259, sorry i made an awful mistake for a moment i thought he was also a brexit supporter
260,preparing for brexit by streaming the game from nbc to get american healthcare ads
261, benefits of brexit  brexiteers can now use their wellrested hands to enroll for all lowpaid tough job vacants after eu labourers have left   croatianstyle passport cover   scotland and ireland pissed off  and all that for mere  billion british pounds congrats
262, in brexit britain childrens toys play with you then kill you
263, without brexit jc labour would have been elected  
264,brexit means brexit ill move back  germany if this ever happened 
265, interesting a conservative attack defending fb who censors your views and im the millinatard hows brexit shaping out for northern ireland  insults only work when they make sense  have another guinness that should get the hamster wheels turning again
266, did brexit affect your tenure directly because you cant stay
267, gormless corbynite comment if he had any duty to the country he would have resigned when his mps lost faith in him in  instead he ploughed on with a preposterous brexit policy  absurd manifesto in  handing the tories a thumping majority losercorbyn
268,lots of uncivil servants need to go 
269,why the uk needs its own post brexit satellite system  via
270, profiting from brexit tut tut i thought thats what leavers were doing
271,a lot of these tv personalities must speak out now and loud they know of vile activities within their circles and have that weight upon their shoulders what are we waiting for another saville case scenario is that what it will take cowards
272,dont forget ian austinjess phillips etc
273,margaret hodge had little to do with the huge defeat of labour corbyn and brexit were the main features of the defeat  own it you had fair warning corbyn on a   point deficit not hodge
274,brexit in historical perspective the age of britain in europe 
275,nonsense brexit will inspire freedom for enterprising entrepreneurs to expand  excel in global markets
276,does anyone care what this bloke thinks
277, magalovetou rtd and follwd this mightypatriottrain wherewegoonewereallydogoall worldwidestyle baby brexit trump
278, brexit fathead get him back to the uk asap this little island of ours dont need ye silly lungs
279,this is why the eu was foolish to force the uk into signing something under duress it has no longterm basis
280, this can only end one way badly the people running the country are clever idiots academically bright in some cases but completely lacking in empathy and consequently hopelessly overambitious i hope if keir gets in he gives them a good seeingto 
281,prepare for a very hard brexit and careless insouciance from those delivering it  johnsons brexit flunkey sums up all thats wrong with his masters trade fantasies  will hutton 
282, proof please otherwise it has gotta be another eu myth used to sway folks to believe bs about the eu yknow to gets votes like brexit
283,ids exposes brussels infighting chaos as eu crumbles before brexit trade talks even begin 
284, i never thought we would be able to travel to europe so easily and freely post brexit
285,this is going to get messy 
286,the time tysonfury dressed as batman aiming to become an mp on an anti immigrant probrexit ticket 
287,not remotely funny but ironic  might see serious supply chain issues for important drugs medical equipment and god only knows what else and it will have absolutely fuck all to do with brexit
288,brexit the uk is rushing to leave the eu as others queue up to join  latest brexit news and top stories  the new european 
289,complete disaster sadly it would appear government have no clue about the true working arrangements that could make post brexit britain great ir
290, yes labour were too busy playing games when they should have just struck a deal with may regarding brexit then labour would have won an election instead we now have bojos circus with a majority
291, but since brexit i can only get that foreign muck
292, sorry the bbc lost all credibility with its antibrexit bias and its liberalism it was supposed to be nonpolitical why should everyone be forced to pay a licence fee for propaganda make it subscription those that use it pay for it
293,nonprofit argues germany cant ratify the unitary patent because of brexit 
294,brexit poll does the uk have the upper hand on brussels now the eu are divided vote  your thoughts    
295,sour grapes me thinks julia   if justice was being served hed be in prison wouldnt he 
296,you forgot about the weapons of mass destruction
297, yes im so much happier when i dont read all that shit and try n stay off twitter a bit and i had blocked brexit but unblocked it again coz a every second tweet on my tl seemed to be about it or mention the word and i couldnt see the tweet b i thought i was over it
298,want to work in the uk heres a good news 
299, i wonder if our government isnt being totally controlled by foreign powers  sounds tinfoil hat conspiracy but is the only way that brexitir and other decisions actually make sense
300,brexit boost why uk will be best country in the world for science after leaving eu  
301,brexit uk reneging on northern ireland pledges risks trade deals with us and eu 
302, bullshit to make boris look like he is justifying brexit
303, bollocks to brexit 
304,ive just received my new bluepassport i turned to the back page and in small print it said fuck you europe im delighted  i hope youre as happy as me remainers  costofbrexit  brexit sundaythoughts coronavirus
305,yano what i find fucking hilarious ye its these small towns that voted brexit that will be the worst effected by it like the bigger cities that voted remain will for the most part be ok theyre more international and have more jobs for other things some of these small towns
306,rely solely on one big place that employees about half the town and those business will be shutting down because of brexit what they voted for you just fucking love to see it dont you
307, it is true but i know brextreemists are not interested in facts or what is and isnt true as long as you get your brexit
308, to blame for labours defeat thats easy labour adopted and referendum policy and immediately alienated over  million leavevoting labour voters who then had no option than to vote for the tories so tories won and hard brexit guaranteed
309,this was the civil service in action against the country now do people see why this filthy swamp needs draining and the hol needs a  cull the second chamber should be elected by the people not there just because their parents were its a joke
310, like i said i dont see it id start trimming down the follow list if i were you everyone ive seen genuinely trying to stop brexit from  on is upset about this and depressed not a soul is enjoying it there are brexiters who claim thats what were like though
311, can i just ask how exactly we know brexit was putins foreign policy  certainly speaking for myself i know no such thing i must have missed the evidence you have seen  would you please resend it for me
312,this
313,its in the genes
314, just needs to say in  different languages that i do not support the epic fuck up that is brexit and never have
315,johnson thinks the  have gone away thats what the silence is telling him brexit has been accepted  no it has not  get a voice unite under one banner to challenge johnson and the no deal brexit he is planning join us its free 
316,she does not however make the law she does not understand it remotely ignorance is no defence in law period
